timestamp,current_x,current_y,goal_x,goal_y,dir_x,dir_y,distance_to_goal,vision_mean,vision_dark,vision_edge,front_clear,left_clear,right_clear,min_range,predicted_action
1778052207.664605,-0.022235,-2.461339,2.000000,2.000000,0.913881,0.405983,4.898263,0.536467,0.383239,0.012975,0.259981,0.226393,1.000000,0.226393,2
1778052207.865040,-0.019782,-2.465293,2.000000,2.000000,0.898382,0.439215,4.900853,0.550092,0.364466,0.013265,0.270075,0.036683,1.000000,0.036683,2
1778052208.076985,-0.019866,-2.465622,2.000000,2.000000,0.838853,0.544358,4.901187,0.611638,0.279014,0.014339,0.668815,0.223573,1.000000,0.223573,2
1778052208.276493,-0.020386,-2.465314,2.000000,2.000000,0.794073,0.607823,4.901121,0.644236,0.233770,0.014863,0.645026,0.050221,1.000000,0.050221,2
1778052208.464583,-0.022871,-2.462070,2.000000,2.000000,0.806126,0.591744,4.899191,0.645513,0.231995,0.014919,0.648840,0.223625,1.000000,0.223625,2
1778052208.664624,-0.023385,-2.461369,2.000000,2.000000,0.869342,0.494212,4.898766,0.598937,0.296559,0.013978,0.275989,0.225797,1.000000,0.225797,2
1778052208.866178,-0.022326,-2.462301,2.000000,2.000000,0.900848,0.434134,4.899177,0.557188,0.354486,0.013402,0.265305,0.226193,1.000000,0.226193,2
1778052209.064644,-0.018251,-2.465170,2.000000,2.000000,0.881678,0.471852,4.900110,0.563812,0.345371,0.013467,0.273846,0.046878,1.000000,0.046878,2
1778052209.264578,-0.018660,-2.465409,2.000000,2.000000,0.817644,0.575724,4.900496,0.610926,0.279941,0.014287,0.666654,0.225625,1.000000,0.225625,2
1778052209.464682,-0.018955,-2.464879,2.000000,2.000000,0.786308,0.617835,4.900135,0.651910,0.223125,0.014466,0.638209,0.225364,1.000000,0.225364,2
1778052209.664673,-0.021560,-2.461452,2.000000,2.000000,0.806460,0.591289,4.898088,0.645514,0.232005,0.014889,0.644206,0.224273,1.000000,0.224273,2
1778052209.864669,-0.021597,-2.461092,2.000000,2.000000,0.871853,0.489767,4.897774,0.591240,0.307262,0.013900,0.277647,0.225848,1.000000,0.045983,2
1778052210.064719,-0.020356,-2.462329,2.000000,2.000000,0.897502,0.441011,4.898389,0.556060,0.356035,0.013356,0.262256,0.225414,1.000000,0.225414,2
1778052210.265872,-0.016955,-2.466152,2.000000,2.000000,0.871999,0.489507,4.900472,0.576459,0.327839,0.013509,0.278525,0.037065,1.000000,0.037065,2
1778052210.464649,-0.017453,-2.466014,2.000000,2.000000,0.806615,0.591077,4.900550,0.630395,0.252939,0.014740,0.657277,0.226460,1.000000,0.226460,2
1778052210.664632,-0.017554,-2.465080,2.000000,2.000000,0.765113,0.643896,4.899741,0.656096,0.217425,0.014525,0.630664,0.221807,1.000000,0.221807,2
1778052210.864639,-0.020585,-2.462346,2.000000,2.000000,0.787243,0.616643,4.898499,0.654698,0.219313,0.014453,0.637086,0.039948,1.000000,0.039948,2
1778052211.064650,-0.020475,-2.462076,2.000000,2.000000,0.855981,0.517007,4.898208,0.611446,0.279219,0.014326,0.681800,0.226265,1.000000,0.048649,2
1778052211.264736,-0.020341,-2.462017,2.000000,2.000000,0.899211,0.437514,4.898099,0.568452,0.338880,0.013558,0.263222,0.230170,1.000000,0.230170,2
1778052211.464620,-0.020028,-2.463096,2.000000,2.000000,0.925445,0.378881,4.898953,0.520666,0.405313,0.012673,0.254641,0.227340,1.000000,0.227340,2
1778052211.669930,-0.017786,-2.467355,2.000000,2.000000,0.906934,0.421273,4.901910,0.537886,0.381507,0.012920,0.265095,0.045456,1.000000,0.045456,2
1778052211.864763,-0.018235,-2.467451,2.000000,2.000000,0.849091,0.528247,4.902182,0.590409,0.308490,0.013945,0.677497,0.228100,1.000000,0.228100,2
1778052212.064673,-0.018721,-2.466641,2.000000,2.000000,0.816450,0.577417,4.901645,0.630471,0.252848,0.014694,0.654265,0.048275,1.000000,0.048275,2
1778052212.264729,-0.020945,-2.462852,2.000000,2.000000,0.842150,0.539243,4.899108,0.622229,0.264245,0.014557,0.672964,0.226696,1.000000,0.038389,2
1778052212.464784,-0.020615,-2.462782,2.000000,2.000000,0.901738,0.432282,4.898909,0.570250,0.336390,0.013512,0.265048,0.229024,1.000000,0.051979,2
1778052212.664732,-0.020841,-2.463177,2.000000,2.000000,0.923939,0.382539,4.899362,0.528740,0.394102,0.012783,0.259213,0.228356,1.000000,0.228356,2
1778052212.864674,-0.019437,-2.466696,2.000000,2.000000,0.910189,0.414192,4.901989,0.534314,0.386396,0.012952,0.266170,0.041306,1.000000,0.041306,2
1778052213.064988,-0.019582,-2.467104,2.000000,2.000000,0.853005,0.521903,4.902421,0.589478,0.309795,0.013861,0.684954,0.227213,1.000000,0.227213,2
1778052213.264687,-0.021633,-2.467245,2.000000,2.000000,0.824645,0.565651,4.903395,0.623623,0.262461,0.014518,0.656575,0.040788,1.000000,0.040788,2
1778052213.464708,-0.024109,-2.463941,2.000000,2.000000,0.854949,0.518712,4.901407,0.605788,0.287080,0.014141,0.684828,0.226948,1.000000,0.226948,2
1778052213.664716,-0.023723,-2.464043,2.000000,2.000000,0.911271,0.411807,4.901340,0.549686,0.365046,0.013210,0.260196,0.228675,1.000000,0.228675,2
1778052213.871026,-0.022199,-2.464044,2.000000,2.000000,0.936225,0.351402,4.900712,0.506200,0.425540,0.012249,0.256091,0.230393,1.000000,0.230393,2
1778052214.064709,-0.018705,-2.466977,2.000000,2.000000,0.920528,0.390677,4.901944,0.515791,0.412240,0.012520,0.264452,0.228144,1.000000,0.228144,2
